,x,
97,education_skills.skills_other,What other skills do they have?
98,work_business.hire.tailor,How many houses have family member who be good enough for hire for the skill: tailor?
99,work_business.hire.barber,How many houses have family member who be good enough for hire for the skill: tailor?
100,work_business.hire.stone,How many houses have family member who be good enough for hire for the skill: tailor?
101,work_business.hire.electrician,How many houses have family member who be good enough for hire for the skill: tailor?
102,work_business.hire.dressmaker,How many houses have family member who be good enough for hire for the skill: tailor?
103,work_business.hire.craftsmen,How many houses have family member who be good enough for hire for the skill: tailor?
104,work_business.hire.farmer,How many houses have family member who be good enough for hire for the skill: tailor?
105,work_business.hire.butcher,How many houses have family member who be good enough for hire for the skill: tailor?
106,work_business.hire.baker,How many houses have family member who be good enough for hire for the skill: tailor?
107,work_business.hire.athletes,How many houses have family member who be good enough for hire for the skill: tailor?
108,work_business.hire.pr,How many houses have family member who be good enough for hire for the skill: tailor?
109,work_business.hire.computer,How many houses have family member who be good enough for hire for the skill: tailor?
110,work_business.hire.construction,How many houses have family member who be good enough for hire for the skill: tailor?
111,work_business.hire.musician,How many houses have family member who be good enough for hire for the skill: tailor?
112,work_business.hire.doctor,How many houses have family member who be good enough for hire for the skill: tailor?
113,work_business.hire.nurse,How many houses have family member who be good enough for hire for the skill: tailor?
114,work_business.hire.other,How many houses have family member who be good enough for hire for the skill: others?
115,work_business.hire_other,What others skills would family members be good enough for hire?
116,work_business.employment,How many houses have someone in the family employed?
117,work_business.plan_business.tailor,How many houses think having the skill (tailor) would allow you to start a business?
118,work_business.plan_business.barber,How many houses think having the skill (tailor) would allow you to start a business?
119,work_business.plan_business.stone,How many houses think having the skill (tailor) would allow you to start a business?
120,work_business.plan_business.electrician,How many houses think having the skill (tailor) would allow you to start a business?
121,work_business.plan_business.dressmaker,How many houses think having the skill (tailor) would allow you to start a business?
122,work_business.plan_business.craftsmen,How many houses think having the skill (tailor) would allow you to start a business?
123,work_business.plan_business.farmer,How many houses think having the skill (tailor) would allow you to start a business?
124,work_business.plan_business.butcher,How many houses think having the skill (tailor) would allow you to start a business?
125,work_business.plan_business.baker,How many houses think having the skill (tailor) would allow you to start a business?
126,work_business.plan_business.athletes,How many houses think having the skill (tailor) would allow you to start a business?
127,work_business.plan_business.pr,How many houses think having the skill (tailor) would allow you to start a business?
128,work_business.plan_business.computer,How many houses think having the skill (tailor) would allow you to start a business?
129,work_business.plan_business.construction,How many houses think having the skill (tailor) would allow you to start a business?
130,work_business.plan_business.musician,How many houses think having the skill (tailor) would allow you to start a business?
131,work_business.plan_business.doctor,How many houses think having the skill (tailor) would allow you to start a business?
132,work_business.plan_business.nurse,How many houses think having the skill (tailor) would allow you to start a business?
133,work_business.plan_business.other,How many houses think having the skill (other) would allow you to start a business?
134,work_business.skill_business_other,What other skills would allow you to start a business?
135,information.find_information,Who is the best person for finding information?
137,information.age_informant,What is the age of the best person for finding information?
138,information.find_information2,Who is the second best person at finding new information?
140,information.age_informant2,What is the age of the second best person at finding new information?
141,information.urban_info,How many houses get updates and information from urban areas?
142,information.urban_info_reliable,How many houses get reliable updates and information from urban areas??
143,information.information_places.Safeway,How many houses get important information at Safeway?
144,information.information_places.Tazweed,How many houses get important information at Tazweed?
145,information.information_places.ringroad,How many houses get important information at Safeway?
146,information.information_places.water_tanks,How many houses get important information at water tanks?
147,information.information_places.barbers,How many houses get important information at the barbers?
148,information.information_places.basecamp_fence,How many houses get important information at the basecamp fence?
149,information.information_places.restaurant,How many houses get important information at the restautrant?
150,information.information_places.gym,How many houses get important information at the gym?
151,information.information_places.Zaatari_entrance,How many houses get important information at the Zaatari entrance?
152,information.information_places.community_center,How many houses get important information at the community center?
153,information.information_places.relative_home,How many houses get important information at a relative’s home?
154,information.information_places.neighbor_home,How many houses get important information at a neighbor’s home?
155,information.information_places.distribution_point,How many houses get important information at the distribution point?
156,information.information_places.registration_area,How many houses get important information at the registration area?
157,information.information_places.leave_permit_area,How many houses get important information at the leave permit area?
158,information.information_places.service_units,How many houses get important information at the service units?
159,information.information_places.mosque,How many houses get important information at the mosques?
160,information.information_places.souk,How many houses get important information at the souk?
161,information.information_places.recreational,How many houses get important information at recreational places?
162,information.information_places.other,How many houses get important information at the other places?
164,information.phone_yesno,How many houses have a phone?
165,information.internet_access.community_center,How many houses access internet at community center?
166,information.internet_access.base,How many houses access internet at base?
167,information.internet_access.phone,How many houses access on mobile phone?
168,information.internet_access.other_phone,How many houses access on other’s mobile phone
169,information.internet_access.not_use,How many houses do not use the internet?
170,information.internet_access.other,How many houses access internet at other location?
172,time.spare_time,How much spare time do you have?
173,time.interest_offer_time,How interested are you in offering spare time?
174,general.more_asset,Assets You can share or train others?
